session,group,ppt,status,continue,L1_bsl,prior_BSL,age_s1,nback_lett,nback_spat,nback_comb,corsi_bspan,corsi_score,corsi_corr,corsi_mspan,kirk_ceil,kirk_raw,kirk_acc,kbit_ceil,kbit_raw,kbit_acc,dspan_mem,dspan_corr,dspan_time,mr2d_acc,mr2d_rt,mr3d_acc,mr3d_rt,bis_tot,bis_att,bis_mot,bis_nplan,mlat_raw,mlat_acc,summ,copy_sign,bsl_srt,town_map,terp_b2e,terp_e2b,grade_bsl,grade_terp,comments
2,grant,HW1091,continuing,1,check,check,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,unable to retest here due to Covid
2,grant,HW1101,continuing,1,check,check,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,unable to retest here due to Covid
2,grant,HW1111,continuing,1,check,check,18,NA,NA,NA,6,60,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,3013,64,15,17,32,NA,NA,tbc,NA,9,tbc,NA,NA,59,NA,"data loss in nback file, did reverse dspan only"
2,grant,HW1121,continuing,1,check,check,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,unable to retest here due to Covid
2,grant,WV2011,continuing,1,check,check,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,84,unable to retest here due to Covid
2,grant,WV2021,withdrew,0,check,check,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unable to retest here due to Covid
2,grant,WV2031,continuing,1,check,check,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,59,unable to retest here due to Covid
2,grant,WV2041,withdrew,0,1,,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unable to retest here due to Covid
2,grant,WV2051,continuing,1,check,check,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,81,unable to retest here due to Covid
2,grant,WV2061,continuing,1,check,check,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,60,unable to retest here due to Covid
2,grant,WV2071,continuing,1,check,check,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,54,unable to retest here due to Covid
2,grant,WV2081,continuing,1,check,check,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,82,unable to retest here due to Covid
2,grant,WV2091,withdrew,0,check,check,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,46,unable to retest here due to Covid
2,grant,WV2111,withdrew,0,check,check,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,49,unable to retest here due to Covid
3,pilot,HW001,continuing,1,0,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,54,unable to retest here due to Covid
3,pilot,HW005,withdrew,0,0,0,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,withdrew from programme 
3,pilot,HW006,withdrew,0,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,51,unable to retest here due to Covid
3,pilot,HW007,withdrew,0,0,0,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,62,unable to retest here due to Covid
3,pilot,HW008,withdrew,0,0,0,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,52,unable to retest here due to Covid
